Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
Q92696,PGTA_HUMAN,RABGGTA,Geranylgeranyl transferase type-2 subunit alpha,9,9,11831.6,15291.6,15330.2,12480.8
Q92733,PRCC_HUMAN,PRCC,Proline-rich protein PRCC,5,5,4859.71,,4235.08,5006.29
Q92734,TFG_HUMAN,TFG,Protein TFG,1,1,,,116671,126987
Q92743,HTRA1_HUMAN,HTRA1,Serine protease HTRA1,3,3,50911.1,42871.5,50649.3,63973.2
Q92747,ARC1A_HUMAN,ARPC1A,Actin-related protein 2/3 complex subunit 1A,3,3,31711.4,34644.2,,
Q92759,TF2H4_HUMAN,GTF2H4,General transcription factor IIH subunit 4,2,2,,,6998.92,
Q92766,RREB1_HUMAN,RREB1,Ras-responsive element-binding protein 1,3,3,3972.08,,,8809.47
Q92769,HDAC2_HUMAN,HDAC2,Histone deacetylase 2,6,3,131682,132311,122148,122417
Q92783,STAM1_HUMAN,STAM,Signal transducing adapter molecule 1,2,2,18876.4,16083.9,17197.3,20485.8
Q92785,REQU_HUMAN,DPF2,Zinc finger protein ubi-d4,1,1,,,,1464.5
Q92793,CBP_HUMAN,CREBBP,CREB-binding protein,2,0,,2655.44,2355.64,1676.6
Q92794,KAT6A_HUMAN,KAT6A,Histone acetyltransferase KAT6A,1,1,,,,
Q92796,DLG3_HUMAN,DLG3,Disks large homolog 3,3,3,3846.22,4911.1,,3832.03
Q92797,SYMPK_HUMAN,SYMPK,Symplekin,8,8,43708.6,52993.3,44973.1,51921.1
Q92804,RBP56_HUMAN,TAF15,TATA-binding protein-associated factor 2N,1,1,934707,1.16E+06,800758,1.07E+06
Q92805,GOGA1_HUMAN,GOLGA1,Golgin subfamily A member 1,5,5,5085.16,9159.22,,6799.67
Q92817,EVPL_HUMAN,EVPL,Envoplakin,9,9,16924.4,,10701.4,13337.7
Q92820,GGH_HUMAN,GGH,Gamma-glutamyl hydrolase,4,4,168958,188704,159345,187765
Q92830,KAT2A_HUMAN,KAT2A,Histone acetyltransferase KAT2A,1,1,,,,
Q92841,DDX17_HUMAN,DDX17,Probable ATP-dependent RNA helicase DDX17,19,12,1.58E+06,1.84E+06,1.58E+06,1.69E+06
Q92844,TANK_HUMAN,TANK,TRAF family member-associated NF-kappa-B activator,1,1,,,,
Q92845,KIFA3_HUMAN,KIFAP3,Kinesin-associated protein 3,3,3,4753.56,5791.06,3119.33,
Q92859,NEO1_HUMAN,NEO1,Neogenin,1,1,2372.36,,,4714.81
Q92878,RAD50_HUMAN,RAD50,DNA repair protein RAD50,23,23,145728,187913,175677,167634
Q92879,CELF1_HUMAN,CELF1,CUGBP Elav-like family member 1,2,2,,,29752.8,24612
Q92882,OSTF1_HUMAN,OSTF1,Osteoclast-stimulating factor 1,1,1,50879.4,45091.4,46821.8,49419.6
Q92887,MRP2_HUMAN,ABCC2,ATP-binding cassette sub-family C member 2,5,5,10986.9,7820.31,7635.61,12784.4
Q92888,ARHG1_HUMAN,ARHGEF1,Rho guanine nucleotide exchange factor 1,9,9,64830,59981.8,65234.2,70906.8
Q92890,UFD1_HUMAN,UFD1,Ubiquitin recognition factor in ER-associated degradation protein 1,4,4,47521.9,52947.9,43345.1,46146.7
Q92896,GSLG1_HUMAN,GLG1,Golgi apparatus protein 1,10,10,32058.5,36473.4,28493,40858.6
Q92900,RENT1_HUMAN,UPF1,Regulator of nonsense transcripts 1,17,16,122082,140257,134517,136455
Q92905,CSN5_HUMAN,COPS5,COP9 signalosome complex subunit 5,3,3,44059.1,51725.3,42795.3,62479.5
Q92917,GPKOW_HUMAN,GPKOW,G-patch domain and KOW motifs-containing protein,4,4,60192,91037.5,86455.5,80211.9
Q92922,SMRC1_HUMAN,SMARCC1,SWI/SNF complex subunit SMARCC1,3,3,,,,
Q92925,SMRD2_HUMAN,SMARCD2,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2,2,2,30864.3,15039.5,28291.3,17136.6
Q92934,BAD_HUMAN,BAD,Bcl2-associated agonist of cell death,1,1,,,,
Q92945,FUBP2_HUMAN,KHSRP,Far upstream element-binding protein 2,11,10,493718,603960,543598,573483
Q92947,GCDH_HUMAN,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial",2,2,9022.56,,,8970.7
Q92954,PRG4_HUMAN,PRG4,Proteoglycan 4,1,1,4456.83,,6062.31,
Q92968,PEX13_HUMAN,PEX13,Peroxisomal membrane protein PEX13,1,1,,,448.319,402.664
Q92973,TNPO1_HUMAN,TNPO1,Transportin-1,8,7,282526,301320,296680,328045
Q92974,ARHG2_HUMAN,ARHGEF2,Rho guanine nucleotide exchange factor 2,8,8,90776.3,126204,103812,103284
Q92979,NEP1_HUMAN,EMG1,Ribosomal RNA small subunit methyltransferase NEP1,5,5,335722,409004,368378,317802
Q92989,CLP1_HUMAN,CLP1,Polyribonucleotide 5'-hydroxyl-kinase Clp1,2,2,48170.2,52350.6,40385.4,39440.9
Q92990,GLMN_HUMAN,GLMN,Glomulin,2,2,23872.3,24004.6,27076.1,14968.4
Q92995,UBP13_HUMAN,USP13,Ubiquitin carboxyl-terminal hydrolase 13,5,5,11388.8,8563.79,8156.55,9326.63
Q93008,USP9X_HUMAN,USP9X,Ubiquitin carboxyl-terminal hydrolase 9X,26,13,136075,139287,134321,139437
Q93009,UBP7_HUMAN,USP7,Ubiquitin carboxyl-terminal hydrolase 7,18,18,209630,237252,244398,273016
Q93015,NAA80_HUMAN,NAA80,N-alpha-acetyltransferase 80,1,1,3206.18,,3482.17,
Q93034,CUL5_HUMAN,CUL5,Cullin-5,6,6,,9387.44,7832.34,
Q93045,STMN2_HUMAN,STMN2,Stathmin-2,1,1,,,,
Q93050,VPP1_HUMAN,ATP6V0A1,V-type proton ATPase 116 kDa subunit a 1,4,3,40702,25083.9,41891.9,39486.9
Q93052,LPP_HUMAN,LPP,Lipoma-preferred partner,5,5,55228.9,56930.2,65950.5,66300.7
Q93074,MED12_HUMAN,MED12,Mediator of RNA polymerase II transcription subunit 12,1,1,5417.34,,6641.67,
Q93096,TP4A1_HUMAN,PTP4A1,Protein tyrosine phosphatase type IVA 1,1,1,98444.5,110784,107071,84972.3
Q93100,KPBB_HUMAN,PHKB,Phosphorylase b kinase regulatory subunit beta,4,4,38329.6,37084.8,29009.2,48290.3
Q969E2,SCAM4_HUMAN,SCAMP4,Secretory carrier-associated membrane protein 4,2,2,145112,166924,161434,167699
Q969E8,TSR2_HUMAN,TSR2,Pre-rRNA-processing protein TSR2 homolog,1,1,73775.3,80997,67192.9,78436.2
Q969F9,HPS3_HUMAN,HPS3,BLOC-2 complex member HPS3,4,4,2954.14,,2082.25,1974.67
Q969G3,SMCE1_HUMAN,SMARCE1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,6,6,36017.1,51235.5,58857.5,56241.2
Q969H8,MYDGF_HUMAN,MYDGF,Myeloid-derived growth factor,2,2,338611,351834,358983,231148
Q969J3,BORC5_HUMAN,BORCS5,BLOC-1-related complex subunit 5,2,2,,1297.26,,988.091
Q969K3,RNF34_HUMAN,RNF34,E3 ubiquitin-protein ligase RNF34,1,1,,,,
Q969M3,YIPF5_HUMAN,YIPF5,Protein YIPF5,2,2,17482.5,10341,7030.3,14193
Q969N2,PIGT_HUMAN,PIGT,GPI transamidase component PIG-T,4,4,78376.5,92119.6,87556.6,93863.8
Q969P0,IGSF8_HUMAN,IGSF8,Immunoglobulin superfamily member 8,1,1,2157.05,,,
Q969R5,LMBL2_HUMAN,L3MBTL2,Lethal(3)malignant brain tumor-like protein 2,2,1,,,,
Q969S3,ZN622_HUMAN,ZNF622,Cytoplasmic 60S subunit biogenesis factor ZNF622,5,5,81992.9,86398,74808.2,99557.4
Q969S9,RRF2M_HUMAN,GFM2,"Ribosome-releasing factor 2, mitochondrial",2,2,12972.2,13463.6,,9285.81
Q969T4,UB2E3_HUMAN,UBE2E3,Ubiquitin-conjugating enzyme E2 E3,2,1,,11767.2,9023.37,
Q969T7,5NT3B_HUMAN,NT5C3B,7-methylguanosine phosphate-specific 5'-nucleotidase,1,1,,,,
Q969T9,WBP2_HUMAN,WBP2,WW domain-binding protein 2,1,1,,8338.96,,15066.8
Q969U7,PSMG2_HUMAN,PSMG2,Proteasome assembly chaperone 2,2,2,192723,232408,199299,174234
Q969V3,NCLN_HUMAN,NCLN,BOS complex subunit NCLN,6,6,108937,127809,124044,129337
Q969V6,MRTFA_HUMAN,MRTFA,Myocardin-related transcription factor A,1,1,,1996.15,,
Q969X5,ERGI1_HUMAN,ERGIC1,Endoplasmic reticulum-Golgi intermediate compartment protein 1,4,4,74596.3,90005.6,88823.6,104508
Q969X6,UTP4_HUMAN,UTP4,U3 small nucleolar RNA-associated protein 4 homolog,3,3,12200.6,14503.2,,19220.7
Q969Y2,GTPB3_HUMAN,GTPBP3,"tRNA modification GTPase GTPBP3, mitochondrial",4,4,19794.9,12608.4,12002.6,18981.9
Q969Z0,FAKD4_HUMAN,TBRG4,FAST kinase domain-containing protein 4,2,2,663801,745268,487276,716158
Q969Z3,MARC2_HUMAN,MTARC2,Mitochondrial amidoxime reducing component 2,4,3,9143.09,14652.1,16686.6,15483.9
Q96A26,F162A_HUMAN,FAM162A,Protein FAM162A,1,1,17713.1,27433.2,,29808.2
Q96A33,CCD47_HUMAN,CCDC47,PAT complex subunit CCDC47,5,5,27345.8,43247.8,38742,39651.3
Q96A35,RM24_HUMAN,MRPL24,Large ribosomal subunit protein uL24m,4,4,35812.8,,35342.8,42232.5
Q96A49,SYAP1_HUMAN,SYAP1,Synapse-associated protein 1,5,5,49789.4,73776,48289.4,76769.6
Q96A57,TM230_HUMAN,TMEM230,Transmembrane protein 230,1,1,28630.8,,10415.4,19952.8
Q96A65,EXOC4_HUMAN,EXOC4,Exocyst complex component 4,7,7,35640.6,41096.2,33341,43751
Q96A83,COQA1_HUMAN,COL26A1,Collagen alpha-1(XXVI) chain,1,1,425763,,460966,
Q96AA3,RFT1_HUMAN,RFT1,Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1,1,1,14168.6,,9466.8,
Q96AC1,FERM2_HUMAN,FERMT2,Fermitin family homolog 2,9,8,202269,228013,217414,218425
Q96AE4,FUBP1_HUMAN,FUBP1,Far upstream element-binding protein 1,9,9,824520,899392,825471,915710
Q96AG4,LRC59_HUMAN,LRRC59,Leucine-rich repeat-containing protein 59,4,4,1.07E+06,1.24E+06,1.16E+06,1.30E+06
Q96AP0,ACD_HUMAN,ACD,Adrenocortical dysplasia protein homolog,1,1,,,,
Q96AQ6,PBIP1_HUMAN,PBXIP1,Pre-B-cell leukemia transcription factor-interacting protein 1,5,5,20630,26013.5,34154,34709.3
Q96AQ8,MCUR1_HUMAN,MCUR1,Mitochondrial calcium uniporter regulator 1,2,2,13573.8,,18217.5,
Q96AX1,VP33A_HUMAN,VPS33A,Vacuolar protein sorting-associated protein 33A,5,5,35072.6,48261,35728.3,41804.6
Q96AY2,EME1_HUMAN,EME1,Crossover junction endonuclease EME1,1,1,,,,
Q96AY3,FKB10_HUMAN,FKBP10,Peptidyl-prolyl cis-trans isomerase FKBP10,7,7,338673,370403,333941,367709
Q96AY4,TTC28_HUMAN,TTC28,Tetratricopeptide repeat protein 28,4,4,,,,3791.29
Q96B01,R51A1_HUMAN,RAD51AP1,RAD51-associated protein 1,1,1,,,,
Q96B23,ARK2N_HUMAN,ARK2N,Protein ARK2N,3,3,16620.5,8119.02,15635,7780.32
Q96B26,EXOS8_HUMAN,EXOSC8,Exosome complex component RRP43,4,4,49671,62708.4,48175.1,84640.7
Q96B49,TOM6_HUMAN,TOMM6,Mitochondrial import receptor subunit TOM6 homolog,1,1,,9119.74,4259.61,
Q96B54,ZN428_HUMAN,ZNF428,Zinc finger protein 428,2,2,,,,2306.8
Q96B70,LENG9_HUMAN,LENG9,Leukocyte receptor cluster member 9,2,2,,,,
Q96B97,SH3K1_HUMAN,SH3KBP1,SH3 domain-containing kinase-binding protein 1,12,12,162514,181271,162169,192582
Q96BD0,SO4A1_HUMAN,SLCO4A1,Solute carrier organic anion transporter family member 4A1,2,2,7028.25,,,
Q96BI1,S22AI_HUMAN,SLC22A18,Solute carrier family 22 member 18,1,1,,,,
Q96BI3,APH1A_HUMAN,APH1A,Gamma-secretase subunit APH-1A,1,1,36592,35349.2,23685.4,29777
Q96BJ3,AIDA_HUMAN,AIDA,"Axin interactor, dorsalization-associated protein",1,1,1137.33,2989.08,2395.58,4012.02
Q96BK5,PINX1_HUMAN,PINX1,PIN2/TERF1-interacting telomerase inhibitor 1,2,2,,3434.96,4724.83,
Q96BM9,ARL8A_HUMAN,ARL8A,ADP-ribosylation factor-like protein 8A,5,1,399981,483832,425190,454618
Q96BN8,OTUL_HUMAN,OTULIN,Ubiquitin thioesterase otulin,3,3,99403.3,117067,107426,79139.9
Q96BP2,CHCH1_HUMAN,CHCHD1,Small ribosomal subunit protein mS37,1,1,8830.69,9384.75,12042.9,16540.5
Q96BP3,PPWD1_HUMAN,PPWD1,Peptidylprolyl isomerase domain and WD repeat-containing protein 1,5,5,17353.9,21304.6,20147.5,21359.6
Q96BQ5,CC127_HUMAN,CCDC127,Coiled-coil domain-containing protein 127,3,3,23787.8,26258.7,29045.7,36449.7
Q96BR5,COA7_HUMAN,COA7,Cytochrome c oxidase assembly factor 7,2,2,,,,67047.1
Q96BW1,UPP_HUMAN,UPRT,Uracil phosphoribosyltransferase homolog,1,1,,4155.6,,
Q96BW5,PTER_HUMAN,PTER,N-acetyltaurine hydrolase,2,2,4996.05,9199.96,4633.81,
Q96BY9,SARAF_HUMAN,SARAF,Store-operated calcium entry-associated regulatory factor,1,1,,,,
Q96C01,F136A_HUMAN,FAM136A,Protein FAM136A,1,1,,,16280.7,23658.1
Q96C19,EFHD2_HUMAN,EFHD2,EF-hand domain-containing protein D2,3,3,102193,98394.6,97294.6,111268
Q96C23,GALM_HUMAN,GALM,Galactose mutarotase,4,4,32364.4,36581.5,24487.5,34277.3
Q96C24,SYTL4_HUMAN,SYTL4,Synaptotagmin-like protein 4,3,3,,26140.2,,
Q96C36,P5CR2_HUMAN,PYCR2,Pyrroline-5-carboxylate reductase 2,4,3,118686,182391,137706,129320
Q96C57,CSTOS_HUMAN,CUSTOS,Protein CUSTOS,5,5,15044.3,9197.14,15139.9,8705.04
Q96C90,PP14B_HUMAN,PPP1R14B,Protein phosphatase 1 regulatory subunit 14B,1,1,,,,
Q96C92,ENTR1_HUMAN,ENTR1,Endosome-associated-trafficking regulator 1,1,1,,,,
Q96CB8,INT12_HUMAN,INTS12,Integrator complex subunit 12,5,5,19784.4,14522,,
Q96CB9,NSUN4_HUMAN,NSUN4,5-methylcytosine rRNA methyltransferase NSUN4,4,4,25691,28709.8,28187.9,25831.8
Q96CD2,COAC_HUMAN,PPCDC,Phosphopantothenoylcysteine decarboxylase,2,2,5830.9,9829.05,10387.4,6733.27
Q96CF2,CHM4C_HUMAN,CHMP4C,Charged multivesicular body protein 4c,1,1,,,2871.54,
Q96CM8,ACSF2_HUMAN,ACSF2,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",5,5,16103.9,15909.5,21355.7,17711.6
Q96CN7,ISOC1_HUMAN,ISOC1,Isochorismatase domain-containing protein 1,4,4,228823,228225,249395,264765
Q96CP2,FWCH2_HUMAN,FLYWCH2,FLYWCH family member 2,1,1,119476,160971,107101,129668
Q96CS3,FAF2_HUMAN,FAF2,FAS-associated factor 2,2,2,28515.2,46048.8,44961.2,39382.9
Q96CT7,CC124_HUMAN,CCDC124,Coiled-coil domain-containing protein 124,6,6,232738,247505,220046,233708
Q96CU9,FXRD1_HUMAN,FOXRED1,FAD-dependent oxidoreductase domain-containing protein 1,2,2,,,5728.76,4805.67
Q96CV9,OPTN_HUMAN,OPTN,Optineurin,1,1,4717.49,,5009.02,4622.26
Q96CW1,AP2M1_HUMAN,AP2M1,AP-2 complex subunit mu,5,5,494704,580741,546989,566228
Q96CW5,GCP3_HUMAN,TUBGCP3,Gamma-tubulin complex component 3,7,7,14858.4,25585.6,19597.1,27056.9
Q96D46,NMD3_HUMAN,NMD3,60S ribosomal export protein NMD3,5,5,30456.3,38387.2,38480.5,33278.8
Q96D53,COQ8B_HUMAN,COQ8B,"Atypical kinase COQ8B, mitochondrial",1,1,,,,
Q96DA6,TIM14_HUMAN,DNAJC19,Mitochondrial import inner membrane translocase subunit TIM14,2,2,31966.1,22534.6,17082.6,
Q96DB5,RMD1_HUMAN,RMDN1,Regulator of microtubule dynamics protein 1,4,4,63375,68292.3,68917.9,69251.4
Q96DG6,CMBL_HUMAN,CMBL,Carboxymethylenebutenolidase homolog,5,5,572766,586356,607978,615392
Q96DH6,MSI2H_HUMAN,MSI2,RNA-binding protein Musashi homolog 2,2,1,62736.2,77785,63226,49677.6
Q96DI7,SNR40_HUMAN,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein,5,5,89746.9,87194.3,83481.3,70553.3
Q96DM3,RMC1_HUMAN,RMC1,Regulator of MON1-CCZ1 complex,1,1,,,,
Q96DV4,RM38_HUMAN,MRPL38,Large ribosomal subunit protein mL38,6,6,48932.1,51177.6,54228.2,43469.5
Q96DX5,ASB9_HUMAN,ASB9,Ankyrin repeat and SOCS box protein 9,1,1,,,,
Q96DZ1,ERLEC_HUMAN,ERLEC1,Endoplasmic reticulum lectin 1,3,3,19647.6,16291.4,16382.7,19368
Q96E11,RRFM_HUMAN,MRRF,"Ribosome-recycling factor, mitochondrial",1,1,62053.1,60359.7,59368.5,59004.7
Q96E29,MTEF3_HUMAN,MTERF3,"Transcription termination factor 3, mitochondrial",1,1,5610.38,,,
Q96EA4,SPDLY_HUMAN,SPDL1,Protein Spindly,2,2,,3142.08,,
Q96EB1,ELP4_HUMAN,ELP4,Elongator complex protein 4,2,2,7866.92,10159.5,15961.3,6604.75
Q96EB6,SIR1_HUMAN,SIRT1,NAD-dependent protein deacetylase sirtuin-1,2,2,111888,185381,149683,92268.6
Q96EC8,YIPF6_HUMAN,YIPF6,Protein YIPF6,1,1,19859.1,32941.6,18382.2,25816.2
Q96EE3,SEH1_HUMAN,SEH1L,Nucleoporin SEH1,1,1,63975.6,51321.1,22456.9,50605.5
Q96EH3,MASU1_HUMAN,MALSU1,Mitochondrial assembly of ribosomal large subunit protein 1,1,1,,4203.54,3723.92,
Q96EI5,TCAL4_HUMAN,TCEAL4,Transcription elongation factor A protein-like 4,1,1,,,10399.4,6363.83
Q96EK5,KBP_HUMAN,KIFBP,KIF-binding protein,5,5,60859.9,60083.7,55822.7,64011.4
Q96EK6,GNA1_HUMAN,GNPNAT1,Glucosamine 6-phosphate N-acetyltransferase,1,1,254068,310595,268703,311561
Q96EK7,F120B_HUMAN,FAM120B,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,3,3,,,1969.17,
Q96EK9,KTI12_HUMAN,KTI12,Protein KTI12 homolog,1,1,6865.49,,8160.84,
Q96EL3,RM53_HUMAN,MRPL53,Large ribosomal subunit protein mL53,2,2,163518,188186,171606,177557
Q96EM0,T3HPD_HUMAN,L3HYPDH,Trans-3-hydroxy-L-proline dehydratase,1,1,,,,
Q96EN8,MOCOS_HUMAN,MOCOS,Molybdenum cofactor sulfurase,3,3,43134.2,61337.5,43525.3,41787.7
Q96EP0,RNF31_HUMAN,RNF31,E3 ubiquitin-protein ligase RNF31,1,1,,,,
Q96EP5,DAZP1_HUMAN,DAZAP1,DAZ-associated protein 1,3,3,193669,196224,201818,205497
Q96EQ0,SGTB_HUMAN,SGTB,Small glutamine-rich tetratricopeptide repeat-containing protein beta,2,2,,,,1326.75
Q96ER3,SAAL1_HUMAN,SAAL1,Protein SAAL1,2,2,30549.9,59459.5,30263,66359.8
Q96ER9,MITOK_HUMAN,CCDC51,Mitochondrial potassium channel,4,4,80037,90529.9,106976,98391.8
Q96ES7,SGF29_HUMAN,SGF29,SAGA-associated factor 29,1,1,,3636,,
Q96EV2,RBM33_HUMAN,RBM33,RNA-binding protein 33,4,4,18522,20626.9,19367.2,18409.5
Q96EV8,DTBP1_HUMAN,DTNBP1,Dysbindin,2,2,5736.04,6738.79,,4046
Q96EX3,DC2I2_HUMAN,DYNC2I2,Cytoplasmic dynein 2 intermediate chain 2,2,2,28477.9,10305.9,,17421.1
Q96EY1,DNJA3_HUMAN,DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial",6,6,124709,136361,104870,79304.8
Q96EY7,PTCD3_HUMAN,PTCD3,Small ribosomal subunit protein mS39,3,3,68258.1,96098.8,92150.2,73746.2
Q96EY8,MMAB_HUMAN,MMAB,Corrinoid adenosyltransferase MMAB,2,2,,23744.1,,27092.1
Q96EY9,ADAT3_HUMAN,ADAT3,Probable inactive tRNA-specific adenosine deaminase-like protein 3,1,1,,,,1266.18
Q96F86,EDC3_HUMAN,EDC3,Enhancer of mRNA-decapping protein 3,1,1,96488.3,107842,90302.3,105768
Q96FF9,CDCA5_HUMAN,CDCA5,Sororin,2,2,6614.19,5480.24,12390.9,11562.2
Q96FJ0,STALP_HUMAN,STAMBPL1,AMSH-like protease,5,5,,1785.15,2611.84,1379.5
Q96FK6,WDR89_HUMAN,WDR89,WD repeat-containing protein 89,1,1,,5069.38,4613.75,7463.06
Q96FN4,CPNE2_HUMAN,CPNE2,Copine-2,3,3,3925.49,4987.27,6144.14,2763.52
Q96FQ6,S10AG_HUMAN,S100A16,Protein S100-A16,1,1,,,,
Q96FS4,SIPA1_HUMAN,SIPA1,Signal-induced proliferation-associated protein 1,4,4,4686.62,4173.77,5111.88,4729.76
Q96FV2,SCRN2_HUMAN,SCRN2,Secernin-2,2,2,24487.9,22711.4,18055.4,20686.9
Q96FV9,THOC1_HUMAN,THOC1,THO complex subunit 1,5,5,58947.7,62213.8,66126.2,60995.9
Q96FW1,OTUB1_HUMAN,OTUB1,Ubiquitin thioesterase OTUB1,4,4,520314,560451,506484,539162
Q96FZ2,HMCES_HUMAN,HMCES,Abasic site processing protein HMCES,1,1,,,,
Q96FZ7,CHMP6_HUMAN,CHMP6,Charged multivesicular body protein 6,2,2,,978.673,,
Q96G03,PGM2_HUMAN,PGM2,Phosphopentomutase,6,6,159338,160969,150668,169291
Q96G46,DUS3L_HUMAN,DUS3L,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like,9,9,50615.5,66103.6,46908,39117.9
Q96GA3,LTV1_HUMAN,LTV1,Protein LTV1 homolog,4,4,24906.6,25464.1,23564.3,35005.2
Q96GA7,SDSL_HUMAN,SDSL,Serine dehydratase-like,3,3,56884.3,74001.4,59076.7,56661.5
Q96GC5,RM48_HUMAN,MRPL48,Large ribosomal subunit protein mL48,2,2,37175.1,38490.7,41367.3,40772.2
Q96GC9,VMP1_HUMAN,VMP1,Vacuole membrane protein 1,1,1,21505.9,26724.3,,32300.5
Q96GD0,PLPP_HUMAN,PDXP,Chronophin,3,2,8596.7,6783.97,4953.96,5829.95
Q96GD4,AURKB_HUMAN,AURKB,Aurora kinase B,1,1,,2526.73,,
Q96GG9,DCNL1_HUMAN,DCUN1D1,DCN1-like protein 1,3,3,68065.8,55654.6,67366.3,61637.2
Q96GK7,FAH2A_HUMAN,FAHD2A,"Oxaloacetate tautomerase FAHD2A, mitochondrial",1,1,65249.5,71896.6,58091.6,74560.5
Q96GM5,SMRD1_HUMAN,SMARCD1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,4,4,50879.4,49701.7,49729.1,61247.5
Q96GM8,TOE1_HUMAN,TOE1,Target of EGR1 protein 1,3,3,151634,160921,210502,242061
Q96GQ5,RUSF1_HUMAN,RUSF1,RUS family member 1,2,2,,,,
Q96GQ7,DDX27_HUMAN,DDX27,Probable ATP-dependent RNA helicase DDX27,14,14,279227,350904,264188,268561
Q96GS4,BORC6_HUMAN,BORCS6,BLOC-1-related complex subunit 6,2,2,706.387,,,1158.19
Q96GX2,A7L3B_HUMAN,ATXN7L3B,Ataxin-7-like protein 3B,1,1,39025.2,35876.2,44275.8,50472.7
Q96GX9,MTNB_HUMAN,APIP,Methylthioribulose-1-phosphate dehydratase,2,2,10731.7,13719.7,9941.55,12186.3
Q96H20,SNF8_HUMAN,SNF8,Vacuolar-sorting protein SNF8,1,1,,25395.6,,7155.31
Q96H55,MYO19_HUMAN,MYO19,Unconventional myosin-XIX,1,1,,,,
Q96H78,S2544_HUMAN,SLC25A44,Solute carrier family 25 member 44,1,1,,,,10184.1
Q96H79,ZCCHL_HUMAN,ZC3HAV1L,Zinc finger CCCH-type antiviral protein 1-like,1,1,3871.72,,3917.55,
Q96HA7,TONSL_HUMAN,TONSL,Tonsoku-like protein,3,3,4977.94,7796.03,5613.63,5756.2
Q96HA8,NTAQ1_HUMAN,NTAQ1,Protein N-terminal glutamine amidohydrolase,1,1,,10554,6710.52,4350.79
Q96HB5,CC120_HUMAN,CCDC120,Coiled-coil domain-containing protein 120,1,1,,5584.81,,
Q96HC4,PDLI5_HUMAN,PDLIM5,PDZ and LIM domain protein 5,7,7,182251,184671,218049,200289
Q96HD1,CREL1_HUMAN,CRELD1,Protein disulfide isomerase CRELD1,2,2,10523.3,6488.1,3812.71,
Q96HE7,ERO1A_HUMAN,ERO1A,ERO1-like protein alpha,7,6,368374,435701,385811,407925
Q96HJ9,FMC1_HUMAN,FMC1,Protein FMC1 homolog,1,1,16336.1,16477.8,28391,24595.2
Q96HN2,SAHH3_HUMAN,AHCYL2,Adenosylhomocysteinase 3,1,1,11417.7,,13038.9,
Q96HP4,OXND1_HUMAN,OXNAD1,Oxidoreductase NAD-binding domain-containing protein 1,1,1,22720.7,24936.7,,14207.6
Q96HR3,MED30_HUMAN,MED30,Mediator of RNA polymerase II transcription subunit 30,1,1,4250.2,,,3054.68
Q96HS1,PGAM5_HUMAN,PGAM5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",4,4,282010,333902,309111,321520
Q96HW7,INT4_HUMAN,INTS4,Integrator complex subunit 4,4,4,7621.51,8440.65,9211.04,10352.9
Q96HY6,DDRGK_HUMAN,DDRGK1,DDRGK domain-containing protein 1,1,1,30409.6,27534.4,31927,36840.2
Q96HY7,DHTK1_HUMAN,DHTKD1,2-oxoadipate dehydrogenase complex component E1,1,1,16275.6,18602.4,,8258.97
Q96I24,FUBP3_HUMAN,FUBP3,Far upstream element-binding protein 3,10,10,92320.9,112600,99790.6,96616.5
Q96I25,SPF45_HUMAN,RBM17,Splicing factor 45,5,5,42206.3,61083.1,57943.7,55556.1
Q96I34,PP16A_HUMAN,PPP1R16A,Protein phosphatase 1 regulatory subunit 16A,1,1,,,,
Q96I59,SYNM_HUMAN,NARS2,Asparaginyl-tRNA synthetase,1,1,8038.56,,,
Q96I99,SUCB2_HUMAN,SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",9,9,201012,220943,213360,230073
Q96IG2,FXL20_HUMAN,FBXL20,F-box/LRR-repeat protein 20,3,3,4239.41,,5444.38,2105.71
Q96IJ6,GMPPA_HUMAN,GMPPA,Mannose-1-phosphate guanylyltransferase regulatory subunit alpha,4,4,32841.5,34549.6,37640.2,46860.5
Q96IR7,HPDL_HUMAN,HPDL,4-hydroxyphenylpyruvate dioxygenase-like protein,4,4,10872.4,11412.3,11053.4,10749.2
Q96IU4,ABHEB_HUMAN,ABHD14B,Putative protein-lysine deacylase ABHD14B,1,1,228623,272390,197504,252460
Q96IV0,NGLY1_HUMAN,NGLY1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,1,1,,,,
Q96IW7,SC22A_HUMAN,SEC22A,Vesicle-trafficking protein SEC22a,1,1,22152.4,,,45376
